antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Smoking'}),frozenset({'HeartDisease'}),0.49263873159682897,0.5,0.29293464362693167,0.5946236559139786,1.1892473118279572,0.04661527782851718,1.2334217506631302,0.3136463446137951
frozenset({'HeartDisease'}),frozenset({'Smoking'}),0.5,0.49263873159682897,0.29293464362693167,0.5858692872538633,1.1892473118279572,0.04661527782851718,1.2251235003528582,0.3182640144665463
frozenset({'HeartDisease'}),frozenset({'BMI_24_30'}),0.5,0.4296386950644796,0.21334892046907536,0.4266978409381507,0.9931550529314229,-0.0014704270631644423,0.9948703243484357,-0.013596824592517617
frozenset({'BMI_24_30'}),frozenset({'HeartDisease'}),0.4296386950644796,0.5,0.21334892046907536,0.49657752646571146,0.9931550529314229,-0.0014704270631644423,0.9932015877037413,-0.011939510361827565
frozenset({'PhysicalNotHealth'}),frozenset({'HeartDisease'}),0.37281262557995104,0.5,0.23656522850984546,0.6345418912297893,1.2690837824595786,0.05015891571986994,1.368145864056844,0.3380647757340144
frozenset({'HeartDisease'}),frozenset({'PhysicalNotHealth'}),0.5,0.37281262557995104,0.23656522850984546,0.4731304570196909,1.2690837824595786,0.05015891571986994,1.1904035501317431,0.42405991815303834
frozenset({'HeartDisease'}),frozenset({'isMale'}),0.5,0.5278011178898915,0.2947977934460965,0.589595586892193,1.117079079425506,0.030897234501150783,1.1505696991276484,0.20961645702955584
frozenset({'isMale'}),frozenset({'HeartDisease'}),0.5278011178898915,0.5,0.2947977934460965,0.558539539712753,1.117079079425506,0.030897234501150783,1.1326042646597678,0.22195780736799472
frozenset({'HeartDisease'}),frozenset({'isFemale'}),0.5,0.4721988821101085,0.20520220655390348,0.41040441310780695,0.8691346562995629,-0.030897234501150783,0.8951917714852221,-0.23144284052815223
frozenset({'isFemale'}),frozenset({'HeartDisease'}),0.4721988821101085,0.5,0.20520220655390348,0.43456732814978144,0.8691346562995629,-0.030897234501150783,0.884278579735924,-0.22195780736799472
frozenset({'Smoking'}),frozenset({'BMI_24_30'}),0.49263873159682897,0.4296386950644796,0.21155883534870126,0.42944011865035225,0.9995378060300235,-9.782643278075098e-05,0.9996519621855332,-0.0009105674150110262
frozenset({'BMI_24_30'}),frozenset({'Smoking'}),0.4296386950644796,0.49263873159682897,0.21155883534870126,0.49241103694570804,0.9995378060300235,-9.782643278075098e-05,0.9995514192236353,-0.0008100709234640955
frozenset({'Smoking'}),frozenset({'PhysicalNotHealth'}),0.49263873159682897,0.37281262557995104,0.20859971504767472,0.42343344456803855,1.1357808601823538,0.024937776058684108,1.0877970088815896,0.23562789279459595
frozenset({'PhysicalNotHealth'}),frozenset({'Smoking'}),0.37281262557995104,0.49263873159682897,0.20859971504767472,0.5595296423321902,1.1357808601823538,0.024937776058684108,1.1518624569642626,0.19061044822526496
frozenset({'Smoking'}),frozenset({'isMale'}),0.49263873159682897,0.5278011178898915,0.2884594308259964,0.585539488320356,1.1093941798783944,0.028444157573331852,1.1393097021389897,0.1943528990718627
frozenset({'isMale'}),frozenset({'Smoking'}),0.5278011178898915,0.49263873159682897,0.2884594308259964,0.5465305416161965,1.1093941798783944,0.028444157573331852,1.1188433069151815,0.20882542743491772
frozenset({'Smoking'}),frozenset({'isFemale'}),0.49263873159682897,0.4721988821101085,0.20417930077083257,0.41446051167964404,0.8777244660714786,-0.028444157573331852,0.9013928666090661,-0.2154259406792207
frozenset({'isFemale'}),frozenset({'Smoking'}),0.4721988821101085,0.49263873159682897,0.20417930077083257,0.4324010676569572,0.8777244660714787,-0.028444157573331852,0.8938728378307349,-0.20882542743491772
frozenset({'isMale'}),frozenset({'BMI_24_30'}),0.5278011178898915,0.4296386950644796,0.25115990209330363,0.47586087558401113,1.1075838397484066,0.024396118549517093,1.0881868541506678,0.20570529713990324
frozenset({'BMI_24_30'}),frozenset({'isMale'}),0.4296386950644796,0.5278011178898915,0.25115990209330363,0.5845839887759874,1.1075838397484066,0.024396118549517093,1.1366891726652197,0.17030224616056489
frozenset({'MentalNotHealth'}),frozenset({'isFemale'}),0.3479523618163884,0.4721988821101085,0.20275453914441238,0.5827077536878577,1.2340303540828383,0.03845182286714177,1.2648236878455834,0.29084862911487
frozenset({'isFemale'}),frozenset({'MentalNotHealth'}),0.4721988821101085,0.3479523618163884,0.20275453914441238,0.42938377625623764,1.2340303540828383,0.03845182286714177,1.142707849954887,0.359315574096332
